Fluxo,Ano,Países,Valor US$ FOB
Importação ,2021,Suécia,1689658465
Importação ,2021,Bolívia,1350197003
Importação ,2021,Turquia,1274166155
Importação ,2021,Peru,1181494767
Importação ,2021,Austrália,1155466452
Importação ,2021,Israel,1140434799
Importação ,2021,Argélia,1139928300
Importação ,2021,Nigéria,1014267413
Importação ,2021,África do Sul,1003072173
Importação ,2021,Emirados Árabes Unidos,977815774
Importação ,2021,Áustria,953446860
Importação ,2021,Dinamarca,940491036
Importação ,2021,Polônia,886415695
Importação ,2021,Portugal,857374236
Importação ,2021,Singapura,842712416
Importação ,2021,Catar,789274984
Importação ,2021,Omã,692641110
Importação ,2021,Hong Kong,681348934
Importação ,2021,Finlândia,638695852
Importação ,2021,Noruega,621666932
Importação ,2021,Trinidad e Tobago,617050097
Importação ,2021,"Tcheca, República",606836400
Importação ,2021,Irlanda,587743113
Importação ,2021,Egito,541969908
Importação ,2021,Belarus,535258427
Importação ,2021,Hungria,456497194
Importação ,2021,Brasil,345539077
Importação ,2021,Porto Rico,307214031
Importação ,2021,Romênia,305380310
Importação ,2021,Iraque,304699214
